day,O3,NO2,NO,SO2,PM10
1,32,48,94,8,27
2,29,49,86,6,25
3,32,34,16,20,32
4,32,35,79,9,22
5,33,50,108,11,24
6,27,58,92,16,26
7,34,53,100,17,29
8,22,51,99,18,30
9,30,40,45,16,29
10,35,43,37,6,24
11,27,53,102,16,46
12,23,58,153,35,46
13,28,29,54,13,44
14,34,29,43,4,67
15,35,29,42,5,33
16,45,37,21,10,32
17,36,30,14,3,29
18,26,45,106,15,44
19,23,52,87,9,28
20,16,49,111,14,49
21,23,48,175,18,56
22,25,49,64,13,43
23,20,43,41,30,40
24,36,41,58,8,23
25,26,52,67,16,45
26,34,46,31,15,46
27,34,36,44,4,31
28,41,29,53,21,42
29,38,38,25,45,39
30,38,47,40,63,107
31,37,62,97,13,41
32,43,23,17,3,30
33,36,29,42,8,29
34,38,26,31,4,26
35,34,33,44,9,30
36,30,33,47,5,30
37,33,27,39,6,26
38,41,15,10,3,20
39,42,23,12,2,19
40,37,32,39,9,41
41,33,40,44,10,32
42,34,31,52,5,32
43,36,30,37,6,16
44,25,29,50,5,22
45,35,27,17,5,108
46,41,36,30,15,109
47,46,44,89,10,65
48,41,40,94,4,47
49,34,78,140,28,93
50,39,46,62,15,105
51,29,41,51,5,27
52,32,31,60,3,49
53,29,38,60,6,62
54,20,49,139,12,34
55,25,48,105,6,61
56,32,32,59,4,60
57,24,26,34,3,39
58,22,28,58,7,57
59,34,24,17,6,52
60,25,27,48,5,41
61,30,39,74,34,53
62,30,29,57,9,36
63,32,36,54,3,101
64,34,33,44,3,26
65,29,48,99,18,58
66,28,26,26,5,40
67,24,34,100,3,28
68,22,33,71,19,34
69,27,43,104,8,24
70,23,41,122,6,128
71,22,34,64,38,55
72,52,51,40,123,59
73,32,40,80,7,84
74,30,21,15,7,24
75,29,36,79,22,64
76,53,46,108,11,68
77,32,43,95,4,96
78,23,49,47,178,101
79,40,35,35,121,51
80,33,27,34,19,44
81,71,61,52,11,77
82,26,50,86,93,97
83,22,39,49,8,37
84,14,45,68,38,70
85,20,50,63,13,78
86,27,71,120,147,95
87,31,42,38,11,82
88,28,27,56,3,33
89,46,52,59,9,48
90,65,60,99,28,97
91,30,31,44,8,28
92,36,44,56,24,63
93,27,28,58,10,71
94,36,20,18,4,37
95,31,16,8,8,16
96,30,29,40,38,34
97,33,36,47,59,38
98,40,46,138,313,85
99,38,58,103,24,119
100,29,36,36,6,54
101,37,34,55,102,38
102,40,48,66,136,84
103,42,54,125,14,70
104,25,34,90,8,52
105,24,39,57,4,30
106,33,33,71,6,23
107,48,62,89,18,73
108,55,41,21,28,65
109,38,47,18,62,64
110,27,45,121,5,69
111,27,33,73,15,88
112,38,60,125,5,50
113,36,44,129,45,73
114,31,51,80,22,56
115,34,47,58,6,38
116,32,37,58,8,27
117,27,30,23,8,44
118,29,38,48,15,41
119,33,45,51,8,28
120,33,48,125,21,67
