time,co2.14,month.14
1,353.66,1
2,354.7,2
3,355.39,3
4,356.2,4
5,357.16,5
6,356.22,6
7,354.82,7
8,352.91,8
9,350.96,9
10,351.18,10
11,352.83,11
12,354.21,12
13,354.72,1
14,355.75,2
15,357.16,3
16,358.6,4
17,359.34,5
18,358.24,6
19,356.17,7
20,354.03,8
21,352.16,9
22,352.21,10
23,353.75,11
24,354.99,12
25,355.98,1
26,356.72,2
27,357.81,3
28,359.15,4
29,359.66,5
30,359.25,6
31,357.03,7
32,355,8
33,353.01,9
34,353.31,10
35,354.16,11
36,355.4,12
37,356.7,1
38,357.16,2
39,358.38,3
40,359.46,4
41,360.28,5
42,359.6,6
43,357.57,7
44,355.52,8
45,353.7,9
46,353.98,10
47,355.33,11
48,356.8,12
49,358.36,1
50,358.91,2
51,359.97,3
52,361.26,4
53,361.68,5
54,360.95,6
55,359.55,7
56,357.49,8
57,355.84,9
58,355.99,10
59,357.58,11
60,359.04,12
61,359.96,1
62,361,2
63,361.64,3
64,363.45,4
65,363.79,5
66,363.26,6
67,361.9,7
68,359.46,8
69,358.06,9
70,357.75,10
71,359.56,11
72,360.7,12
73,362.05,1
74,363.25,2
75,364.03,3
76,364.72,4
77,365.41,5
78,364.97,6
79,363.65,7
80,361.49,8
81,359.46,9
82,359.6,10
83,360.76,11
84,362.33,12
85,363.18,1
86,364,2
87,364.57,3
88,366.35,4
89,366.79,5
90,365.62,6
91,364.47,7
92,362.51,8
93,360.19,9
94,360.77,10
95,362.43,11
96,364.28,12
97,365.32,1
98,366.15,2
99,367.31,3
100,368.61,4
101,369.29,5
102,368.87,6
103,367.64,7
104,365.77,8
105,363.9,9
106,364.23,10
107,365.46,11
108,366.97,12
109,368.15,1
110,368.87,2
111,369.59,3
112,371.14,4
113,371,5
114,370.35,6
115,369.27,7
116,366.94,8
117,364.63,9
118,365.12,10
119,366.67,11
120,368.01,12
121,369.14,1
122,369.46,2
123,370.52,3
124,371.66,4
125,371.82,5
126,371.7,6
127,370.12,7
128,368.12,8
129,366.62,9
130,366.73,10
131,368.29,11
132,369.53,12
133,370.28,1
134,371.5,2
135,372.12,3
136,372.87,4
137,374.02,5
138,373.3,6
139,371.62,7
140,369.55,8
141,367.96,9
142,368.09,10
143,369.68,11
144,371.24,12
145,372.43,1
146,373.09,2
147,373.52,3
148,374.86,4
149,375.55,5
150,375.41,6
151,374.02,7
152,371.49,8
153,370.71,9
154,370.25,10
155,372.08,11
156,373.78,12
157,374.68,1
158,375.63,2
159,376.11,3
160,377.65,4
161,378.35,5
162,378.13,6
163,376.62,7
164,374.5,8
165,372.99,9
166,373,10
167,374.35,11
168,375.7,12
